car_id;car_band;car_num;car_valid_mes;car_valid_ano;car_nm;car_cli_cod
106;MasterCard;4630050953850152;8;2015;TAM;4106
107;Visa;4630314295226707;6;2021;Luiza;4107
108;MasterCard;4632920909533278;8;2017;Walmart;4108
109;Visa;4634642506344244;8;2021;TIM;4109
110;MasterCard;4645074467128146;12;2020;Ipiranga;4110
111;Visa;4650380444433545;8;2016;Ponto Frio;4111
112;MasterCard;4652137264516203;1;2018;VIVO;4112
113;Visa;4658732486236848;12;2018;Volkswagen;4113
114;MasterCard;4665780352521689;3;2014;FIAT;4114
115;Visa;4668420092109591;1;2015;P̣o de A̤̼car;4115
116;MasterCard;4669444299070167;6;2020;Ford;4116
117;Visa;4673957053292545;1;2016;Mitsubishi;4117
118;MasterCard;4679864262416958;5;2016;Americanas;4118
119;Visa;4684104250231755;10;2015;Submarino;4119
120;MasterCard;4701222428772592;4;2020;Itaucard;4120
121;Visa;4704274248285213;4;2021;TudoAzul;4121
122;MasterCard;4708061530767008;8;2017;EXTRA;4122
123;Visa;4709835523273790;8;2014;TAM;4123
124;MasterCard;4712735341163358;1;2013;Luiza;4124
125;Visa;4713453836645932;8;2014;Walmart;4125
126;MasterCard;4720672671124336;8;2013;TIM;4126
127;Visa;4723532976722342;3;2013;Ipiranga;4127
128;MasterCard;4736140163755049;1;2020;Ponto Frio;4128
129;Visa;4742089224141099;3;2022;VIVO;4129
130;MasterCard;4745606320165099;4;2015;Volkswagen;4130
131;Visa;4749581635138014;1;2021;FIAT;4131
132;MasterCard;4762122681410987;2;2015;P̣o de A̤̼car;4132
133;Visa;4765416508261113;4;2014;Ford;4133
134;MasterCard;4765442303568124;2;2018;Mitsubishi;4134
135;Visa;4775672480510545;5;2017;Americanas;4135
136;MasterCard;4802298392215743;5;2015;Submarino;4136
137;Visa;4809706682432445;9;2020;Itaucard;4137
138;MasterCard;4811628164583814;6;2014;TudoAzul;4138
139;Visa;4813762000575664;9;2021;EXTRA;4139
140;MasterCard;4816014838218680;11;2021;TAM;4140
141;Visa;4824052676837892;9;2013;Luiza;4141
142;MasterCard;4831683162087579;7;2021;Walmart;4142
143;Visa;4835833073779949;12;2013;TIM;4143
144;MasterCard;4838059514714403;4;2021;Ipiranga;4144
145;Visa;4846138645103201;2;2013;Ponto Frio;4145
146;MasterCard;4848209299566221;1;2013;VIVO;4146
147;Visa;4860674523562190;12;2014;Volkswagen;4147
148;MasterCard;4865886611398306;4;2015;FIAT;4148
149;Visa;4866608070302758;7;2019;P̣o de A̤̼car;4149
150;MasterCard;4870833471091465;10;2016;Ford;4150
151;Visa;4872111733118079;5;2022;Mitsubishi;4151
152;MasterCard;4877223350433633;4;2016;Americanas;4152
153;Visa;4879325231676924;5;2017;Submarino;4153
154;MasterCard;4879398427484557;10;2022;Itaucard;4154
155;Visa;4879693518253046;12;2019;TudoAzul;4155
156;MasterCard;4884687960753215;6;2016;EXTRA;4156
157;Visa;4885228346660730;3;2014;TAM;4157
158;MasterCard;4888111080555240;10;2016;Luiza;4158
159;Visa;4892847340740268;8;2017;Walmart;4159
160;MasterCard;4892857367591934;6;2018;TIM;4160
161;Visa;4894565906235947;4;2020;Ipiranga;4161
162;MasterCard;4897612544894215;11;2018;Ponto Frio;4162
163;Visa;4901580632990225;12;2022;VIVO;4163
164;MasterCard;4902733717579398;9;2017;Volkswagen;4164
165;Visa;4909873893344776;3;2022;FIAT;4165
166;MasterCard;4910956452600653;3;2021;P̣o de A̤̼car;4166
167;Visa;4922556684305893;10;2022;Ford;4167
168;MasterCard;4928909003501751;11;2022;Mitsubishi;4168
169;Visa;4933380466373634;10;2016;Americanas;4169
170;MasterCard;4933750131353734;2;2014;Submarino;4170
171;Visa;4938436043122788;6;2021;Itaucard;4171
172;MasterCard;4939650946343314;5;2016;TudoAzul;4172
173;Visa;4940929295122629;9;2017;EXTRA;4173
174;MasterCard;4942368221888310;12;2021;TAM;4174
175;Visa;4945110003184523;3;2016;Luiza;4175
176;MasterCard;4956078775413339;10;2018;Walmart;4176
177;Visa;4965369963366537;11;2014;TIM;4177
178;MasterCard;4965637455880645;11;2017;Ipiranga;4178
179;Visa;4966056798305361;12;2013;Ponto Frio;4179
180;MasterCard;4971827697567645;2;2021;VIVO;4180
181;Visa;4978381285956122;9;2017;Volkswagen;4181
182;MasterCard;4978705103602262;6;2021;FIAT;4182
183;Visa;4981539592100309;12;2014;P̣o de A̤̼car;4183
184;MasterCard;4985380054404954;11;2019;Ford;4184
185;Visa;4986266687093301;8;2017;Mitsubishi;4185
186;MasterCard;4989889032579952;7;2021;Americanas;4186
187;Visa;4996971707651396;3;2018;Submarino;4187
188;MasterCard;5110445218449455;2;2018;Itaucard;4188
189;Visa;5110557543286121;5;2020;TudoAzul;4189
190;MasterCard;5110910585820671;3;2015;EXTRA;4190
191;Visa;5111007114751264;5;2013;TAM;4191
192;MasterCard;5111035482296729;1;2022;Luiza;4192
193;Visa;5111623688177203;8;2015;Walmart;4193
194;MasterCard;5111779290414410;4;2021;TIM;4194
195;Visa;5112063610521140;9;2014;Ipiranga;4195
196;MasterCard;5112286384366455;3;2014;Ponto Frio;4196
197;Visa;5112444312162690;6;2014;VIVO;4197
198;MasterCard;5112549259709196;5;2015;Volkswagen;4198
199;Visa;5112960154893807;4;2017;FIAT;4199
200;MasterCard;5113165156631735;2;2021;P̣o de A̤̼car;4200
201;Visa;5113228951422498;9;2022;Ford;4201
202;MasterCard;5113361373045488;7;2016;Mitsubishi;4202
203;Visa;5113482597158293;3;2020;Americanas;4203
204;MasterCard;5113819001573136;2;2014;Submarino;4204
205;Visa;5113986063045440;9;2015;Itaucard;4205
206;MasterCard;5114155344297175;1;2021;TudoAzul;4206
207;Visa;5114328835443594;2;2014;EXTRA;4207
208;MasterCard;5114343014522452;3;2013;TAM;4208
209;Visa;5114660696280188;8;2017;Luiza;4209
210;MasterCard;5115087838610630;8;2018;Walmart;4210
211;Visa;5115134946457116;11;2018;TIM;4211
212;MasterCard;5115340644563543;4;2021;Ipiranga;4212
213;Visa;5115624133436943;10;2013;Ponto Frio;4213
214;MasterCard;5115934218131008;6;2019;VIVO;4214
215;Visa;5116085051400581;11;2021;Volkswagen;4215
216;MasterCard;5116642515603457;3;2017;FIAT;4216
217;Visa;5116752559849997;2;2022;P̣o de A̤̼car;4217
218;MasterCard;5116971979383379;10;2018;Ford;4218
219;Visa;5117141327941794;4;2017;Mitsubishi;4219
220;MasterCard;5117156154648405;12;2014;Americanas;4220
221;Visa;5117240438498557;2;2022;Submarino;4221
222;MasterCard;5117283398183068;8;2015;Itaucard;4222
223;Visa;5117406760267918;12;2022;TudoAzul;4223
224;MasterCard;5117671953542157;4;2017;EXTRA;4224
225;Visa;5117735772556623;3;2021;TAM;4225
226;MasterCard;5118206913759937;10;2021;Luiza;4226
227;Visa;5118216753820885;1;2015;Walmart;4227
228;MasterCard;5118276683716102;10;2019;TIM;4228
229;Visa;5118386413808913;4;2014;Ipiranga;4229
230;MasterCard;5118390566706656;2;2021;Ponto Frio;4230
231;Visa;5118807286978697;5;2021;VIVO;4231
232;MasterCard;5118833939377214;11;2017;Volkswagen;4232
233;Visa;5118953948072150;8;2018;FIAT;4233
234;MasterCard;5118972416589964;5;2022;P̣o de A̤̼car;4234
235;Visa;5119052869323640;4;2020;Ford;4235
236;MasterCard;5119082350949759;12;2020;Mitsubishi;4236
237;Visa;5119274424063044;12;2016;Americanas;4237
238;MasterCard;5119295847201715;5;2021;Submarino;4238
239;Visa;5119967074659656;12;2017;Itaucard;4239
240;MasterCard;5120712281842710;9;2021;TudoAzul;4240
241;Visa;5121315011424018;10;2019;EXTRA;4241
242;MasterCard;5122700691521168;2;2022;TAM;4242
243;Visa;5122761169257578;6;2018;Luiza;4243
244;MasterCard;5122838188344617;5;2015;Walmart;4244
245;Visa;5122986273104325;12;2018;TIM;4245
246;MasterCard;5123295593201184;12;2017;Ipiranga;4246
247;Visa;5123347902856760;1;2019;Ponto Frio;4247
248;MasterCard;5123387829968708;4;2019;VIVO;4248
249;Visa;5124460661062030;5;2018;Volkswagen;4249
250;MasterCard;5124653268982655;4;2020;FIAT;4250
251;Visa;5124907598597924;6;2015;P̣o de A̤̼car;4251
252;MasterCard;5125046850969088;11;2017;Ford;4252
253;Visa;5125316051547419;5;2018;Mitsubishi;4253
254;MasterCard;5126190801924090;8;2022;Americanas;4254
255;Visa;5126390019729737;8;2015;Submarino;4255
256;MasterCard;5126583556323318;12;2017;Itaucard;4256
257;Visa;5126659550555053;10;2019;TudoAzul;4257
258;MasterCard;5126889644358305;11;2014;EXTRA;4258
259;Visa;5127101294789461;2;2015;TAM;4259
260;MasterCard;5127335063302884;5;2015;Luiza;4260
261;Visa;5127467588777656;3;2017;Walmart;4261
262;MasterCard;5127624544021678;11;2015;TIM;4262
263;Visa;5127832812480625;11;2017;Ipiranga;4263
264;MasterCard;5128245663875719;10;2014;Ponto Frio;4264
265;Visa;5128656826568767;8;2021;VIVO;4265
266;MasterCard;5129858683985655;2;2014;Volkswagen;4266
267;Visa;5130137595795091;6;2018;FIAT;4267
268;MasterCard;5130367063470184;12;2013;P̣o de A̤̼car;4268
269;Visa;5130500899036417;10;2015;Ford;4269
270;MasterCard;5131432520165103;9;2019;Mitsubishi;4270
271;Visa;5131640288559717;11;2017;Americanas;4271
272;MasterCard;5131887501142916;11;2013;Submarino;4272
273;Visa;5131923624211920;9;2013;Itaucard;4273
274;MasterCard;5132112225792374;10;2019;TudoAzul;4274
275;Visa;5132344104144728;5;2015;EXTRA;4275
276;MasterCard;5132538505080151;7;2021;TAM;4276
277;Visa;5132654131841843;7;2021;Luiza;4277
278;MasterCard;5133607925157997;6;2013;Walmart;4278
279;Visa;5133805793519136;3;2020;TIM;4279
280;MasterCard;5134084557974714;2;2022;Ipiranga;4280
281;Visa;5134273724788790;4;2014;Ponto Frio;4281
282;MasterCard;5134427180839701;8;2021;VIVO;4282
283;Visa;5134860240039413;2;2015;Volkswagen;4283
284;MasterCard;5135067465957258;7;2014;FIAT;4284
285;Visa;5135084021682858;5;2018;P̣o de A̤̼car;4285
286;MasterCard;5135202237823975;7;2014;Ford;4286
287;Visa;5135545444991435;11;2015;Mitsubishi;4287
288;MasterCard;5135720951692209;9;2013;Americanas;4288
289;Visa;5135917180050165;1;2017;Submarino;4289
290;MasterCard;5136133616464215;9;2021;Itaucard;4290
291;Visa;5136199503629463;10;2015;TudoAzul;4291
292;MasterCard;5136200476684608;10;2018;EXTRA;4292
293;Visa;5136480241185053;11;2014;TAM;4293
294;MasterCard;5136539486111148;10;2014;Luiza;4294
295;Visa;5136558272847901;8;2013;Walmart;4295
296;MasterCard;5136569608282291;8;2022;TIM;4296
297;Visa;5136598057802760;11;2021;Ipiranga;4297
298;MasterCard;5136623184191998;11;2016;Ponto Frio;4298
299;Visa;5137734465003011;6;2022;VIVO;4299
300;MasterCard;5137851708801460;10;2013;Volkswagen;4300
301;Visa;5137996816686350;11;2018;FIAT;4301
302;MasterCard;5138361839558929;2;2020;P̣o de A̤̼car;4302
303;Visa;5138507336950862;3;2022;Ford;4303
304;MasterCard;5138652063333427;8;2019;Mitsubishi;4304
305;Visa;5139029981638301;10;2016;Americanas;4305
306;MasterCard;5139038597941395;3;2021;Submarino;4306
307;Visa;5139285337072793;10;2015;Itaucard;4307
308;MasterCard;5139378601629287;8;2022;TudoAzul;4308
309;Visa;5139492774759419;2;2019;EXTRA;4309
310;MasterCard;5139652211046773;7;2022;TAM;4310
311;Visa;5139687545630146;4;2019;Luiza;4311
312;MasterCard;5139707219465637;11;2022;Walmart;4312
313;Visa;5139819133002313;6;2014;TIM;4313
314;MasterCard;5140185189279729;10;2022;Ipiranga;4314
315;Visa;5140210384232923;6;2016;Ponto Frio;4315
316;MasterCard;5140260696858164;6;2019;VIVO;4316
317;Visa;5140325170583099;11;2018;Volkswagen;4317
318;MasterCard;5140476759900333;11;2018;FIAT;4318
319;Visa;5140500786290509;5;2015;P̣o de A̤̼car;4319
320;MasterCard;5140578570393842;11;2016;Ford;4320
321;Visa;5140685003842226;4;2016;Mitsubishi;4321
322;MasterCard;5140693008056840;7;2014;Americanas;4322
323;Visa;5140986346839929;3;2013;Submarino;4323
324;MasterCard;5141055743382318;6;2020;Itaucard;4324
325;Visa;5141068834154868;6;2019;TudoAzul;4325
326;MasterCard;5141107732178643;4;2019;EXTRA;4326
327;Visa;5141130812377665;2;2018;TAM;4327
328;MasterCard;5141225885916506;5;2018;Luiza;4328
329;Visa;5141623594020495;3;2013;Walmart;4329
330;MasterCard;5141760479258374;8;2014;TIM;4330
331;Visa;5141958947177048;7;2020;Ipiranga;4331
332;MasterCard;5142153564197940;2;2016;Ponto Frio;4332
333;Visa;5142464762260208;10;2017;VIVO;4333
334;MasterCard;5142862172177999;10;2015;Volkswagen;4334
335;Visa;5143201525555923;1;2014;FIAT;4335
336;MasterCard;5144277199245984;3;2015;P̣o de A̤̼car;4336
337;Visa;5144498757631518;8;2017;Ford;4337
338;MasterCard;5144519101432521;9;2017;Mitsubishi;4338
339;Visa;5144574486324561;3;2016;Americanas;4339
340;MasterCard;5144825794221836;3;2013;Submarino;4340
341;Visa;5145141210728328;3;2018;Itaucard;4341
342;MasterCard;5145187046662906;11;2022;TudoAzul;4342
343;Visa;5145245468486109;1;2020;EXTRA;4343
344;MasterCard;5145259668142531;8;2021;TAM;4344
345;Visa;5145623194091025;5;2017;Luiza;4345
346;MasterCard;5146590638426136;4;2018;Walmart;4346
347;Visa;5146852201917202;10;2015;TIM;4347
348;MasterCard;5146862069554629;6;2016;Ipiranga;4348
349;Visa;5146963279526682;11;2020;Ponto Frio;4349
350;MasterCard;5147256689849304;10;2017;VIVO;4350
351;Visa;5148010860262434;6;2019;Volkswagen;4351
352;MasterCard;5148324556425211;7;2016;FIAT;4352
353;Visa;5148925114464946;4;2015;P̣o de A̤̼car;4353
354;MasterCard;5148998802206479;4;2016;Ford;4354
355;Visa;5149005003934724;11;2019;Mitsubishi;4355
356;MasterCard;5149460691842257;11;2022;Americanas;4356
357;Visa;5149517226186583;10;2016;Submarino;4357
358;MasterCard;5150239155902528;7;2015;Itaucard;4358
359;Visa;5150441964054487;8;2021;TudoAzul;4359
360;MasterCard;5150472213169552;10;2017;EXTRA;4360
361;Visa;5150660164691509;5;2016;TAM;4361
362;MasterCard;5150702467821538;6;2017;Luiza;4362
363;Visa;5151402461007237;1;2014;Walmart;4363
364;MasterCard;5151529414486144;8;2018;TIM;4364
365;Visa;5152082358957263;2;2013;Ipiranga;4365
366;MasterCard;5152465746286323;11;2014;Ponto Frio;4366
367;Visa;5152605342902245;10;2017;VIVO;4367
368;MasterCard;5152610027422194;10;2022;Volkswagen;4368
369;Visa;5152960006454957;1;2014;FIAT;4369
370;MasterCard;5153199622645044;9;2017;P̣o de A̤̼car;4370
371;Visa;5153228183267637;6;2021;Ford;4371
372;MasterCard;5153257608399729;8;2022;Mitsubishi;4372
373;Visa;5153535105679184;11;2017;Americanas;4373
374;MasterCard;5154181194133129;10;2016;Submarino;4374
375;Visa;5154222796913233;3;2022;Itaucard;4375
376;MasterCard;5154622838497164;4;2014;TudoAzul;4376
377;Visa;5155658508883781;3;2013;EXTRA;4377
378;MasterCard;5155923440097835;2;2021;TAM;4378
379;Visa;5156010763812815;6;2018;Luiza;4379
380;MasterCard;5156278761252761;9;2018;Walmart;4380
381;Visa;5156316233850089;2;2014;TIM;4381
382;MasterCard;5156580136814159;12;2021;Ipiranga;4382
383;Visa;5156712360163213;6;2022;Ponto Frio;4383
384;MasterCard;5157232856275515;12;2017;VIVO;4384
385;Visa;5157609905125571;12;2020;Volkswagen;4385
386;MasterCard;5157885626782668;1;2019;FIAT;4386
387;Visa;5158000489114786;9;2013;P̣o de A̤̼car;4387
388;MasterCard;5158481035400186;5;2017;Ford;4388
389;Visa;5158514749426390;12;2018;Mitsubishi;4389
390;MasterCard;5158724033143375;8;2013;Americanas;4390
391;Visa;5158809905028909;2;2018;Submarino;4391
392;MasterCard;5158825522023253;7;2021;Itaucard;4392
393;Visa;5159375354461378;7;2017;TudoAzul;4393
394;MasterCard;5159394135372713;10;2018;EXTRA;4394
395;Visa;5159694554014138;8;2019;TAM;4395
396;MasterCard;5159904019366942;12;2019;Luiza;4396
397;Visa;5160012704655529;8;2016;Walmart;4397
398;MasterCard;5160426581283098;5;2019;TIM;4398
399;Visa;5160468621766191;2;2016;Ipiranga;4399
400;MasterCard;5160726419142442;8;2018;Ponto Frio;4400
401;Visa;5161384039041581;9;2016;VIVO;4401
402;MasterCard;5161549051264303;10;2022;Volkswagen;4402
403;Visa;5161739284591743;4;2022;FIAT;4403
404;MasterCard;5162579095507978;1;2018;P̣o de A̤̼car;4404
405;Visa;5162763547752984;11;2015;Ford;4405
406;MasterCard;5162858550297099;10;2013;Mitsubishi;4406
407;Visa;5163013405203814;2;2020;Americanas;4407
408;MasterCard;5163416281044483;2;2021;Submarino;4408
409;Visa;5163908526916053;6;2013;Itaucard;4409
410;MasterCard;5163959445008070;5;2017;TudoAzul;4410
411;Visa;5163995081926694;7;2021;EXTRA;4411
412;MasterCard;5164543337728822;7;2015;TAM;4412
413;Visa;5164747072793543;8;2017;Luiza;4413
414;MasterCard;5164951485074121;11;2022;Walmart;4414
415;Visa;5165190608450212;1;2014;TIM;4415
416;MasterCard;5165482199941764;9;2020;Ipiranga;4416
417;Visa;5166030549118297;7;2015;Ponto Frio;4417
418;MasterCard;5166425901111211;7;2018;VIVO;4418
419;Visa;5166430353410541;5;2014;Volkswagen;4419
420;MasterCard;5166822712225836;5;2017;FIAT;4420
421;Visa;5167128723608324;9;2021;P̣o de A̤̼car;4421
422;MasterCard;5167336529302418;4;2018;Ford;4422
423;Visa;5167344163414093;11;2014;Mitsubishi;4423
424;MasterCard;5167441392443147;2;2013;Americanas;4424
425;Visa;5167506046923805;3;2018;Submarino;4425
426;MasterCard;5167635713205677;7;2017;Itaucard;4426
427;Visa;5168270790940155;9;2015;TudoAzul;4427
428;MasterCard;5168470564801249;3;2022;EXTRA;4428
429;Visa;5168960657236166;11;2022;TAM;4429
430;MasterCard;5169186920090579;4;2021;Luiza;4430
431;Visa;5169504524692899;6;2021;Walmart;4431
432;MasterCard;5169898749780840;8;2015;TIM;4432
433;Visa;5170047445665116;1;2020;Ipiranga;4433
434;MasterCard;5170242672134195;11;2017;Ponto Frio;4434
435;Visa;5170423378464761;10;2020;VIVO;4435
436;MasterCard;5170827595703304;9;2018;Volkswagen;4436
437;Visa;5171031911298637;4;2017;FIAT;4437
438;MasterCard;5171318283085712;2;2014;P̣o de A̤̼car;4438
439;Visa;5171447736676781;12;2018;Ford;4439
440;MasterCard;5171715239249163;7;2017;Mitsubishi;4440
441;Visa;5172446971894243;1;2021;Americanas;4441
442;MasterCard;5173738274569622;1;2020;Submarino;4442
443;Visa;5173994152280507;10;2014;Itaucard;4443
444;MasterCard;5174260183158335;7;2016;TudoAzul;4444
445;Visa;5174335126299410;10;2017;EXTRA;4445
446;MasterCard;5174495156821794;8;2022;TAM;4446
447;Visa;5174519362291322;2;2020;Luiza;4447
448;MasterCard;5174653069614439;8;2018;Walmart;4448
449;Visa;5174860755531116;5;2019;TIM;4449
450;MasterCard;5174984720065257;2;2022;Ipiranga;4450
451;Visa;5175000503943302;9;2013;Ponto Frio;4451
452;MasterCard;5175004997565419;4;2022;VIVO;4452
453;Visa;5175219012615272;10;2017;Volkswagen;4453
454;MasterCard;5175252642445269;2;2019;FIAT;4454
455;Visa;5175489884503181;3;2014;P̣o de A̤̼car;4455
456;MasterCard;5175687414612626;8;2021;Ford;4456
457;Visa;5176164931384843;2;2019;Mitsubishi;4457
458;MasterCard;5176236844593656;5;2013;Americanas;4458
459;Visa;5176303626988082;2;2013;Submarino;4459
460;MasterCard;5176441729068758;11;2022;Itaucard;4460
461;Visa;5176539452336726;9;2021;TudoAzul;4461
462;MasterCard;5176570572541099;7;2021;EXTRA;4462
463;Visa;5176708798087204;12;2016;TAM;4463
464;MasterCard;5176715093986139;10;2019;Luiza;4464
465;Visa;5176903618033977;10;2019;Walmart;4465
466;MasterCard;5177042736881414;3;2022;TIM;4466
467;Visa;5177242355090562;5;2015;Ipiranga;4467
468;MasterCard;5177296162382699;3;2020;Ponto Frio;4468
469;Visa;5177414167551327;11;2021;VIVO;4469
470;MasterCard;5177841450069096;11;2021;Volkswagen;4470
471;Visa;5178025912162849;10;2020;FIAT;4471
472;MasterCard;5178115609465163;9;2021;P̣o de A̤̼car;4472
473;Visa;5178149683242667;4;2018;Ford;4473
474;MasterCard;5178212797339070;5;2013;Mitsubishi;4474
475;Visa;5178730251071970;10;2013;Americanas;4475
476;MasterCard;5178814200274646;2;2021;Submarino;4476
477;Visa;5178885474824342;8;2021;Itaucard;4477
478;MasterCard;5179305060533804;4;2018;TudoAzul;4478
479;Visa;5179649784993384;1;2019;EXTRA;4479
480;MasterCard;5179712888360951;4;2015;TAM;4480
481;Visa;5180044586504806;9;2019;Luiza;4481
482;MasterCard;5180095321787524;5;2019;Walmart;4482
483;Visa;5180150413648225;5;2022;TIM;4483
484;MasterCard;5180283953081810;11;2016;Ipiranga;4484
485;Visa;5180567168244163;10;2014;Ponto Frio;4485
486;MasterCard;5180624311491843;8;2018;VIVO;4486
487;Visa;5180736369113434;5;2018;Volkswagen;4487
488;MasterCard;5180786131424823;6;2017;FIAT;4488
